Date,River,Location,LocationNo,Temp,pH,EC,TDS,DO,ORP,Turbidity,Color,Suspended Solids,"Alkalinity
",Iron,AmmoniaNitrogen,Nitrate,Sulfide,Sulfate,Chloride
7/8/2019,Turag,u/s of Konabari,L-1,29.4,7.74,148.4,64.4,6.59,199.3,176,35,576,30,0.1,0.18,1.4,3,7,220
7/8/2019,Turag,Konabari Powerplant,L-2,29.4,7.7,150.3,65.3,6.42,200,187,13,623,50,0.11,0.43,1.9,4,8,160
7/8/2019,Turag,d/s of Konabari,L-3,29.4,7.66,159.5,69.3,6.05,201.1,186,18,588,65,0.09,0.2,2.1,3,9,170
7/8/2019,Turag,d/s of Kashimpur,L-4,29.4,7.69,163.7,71.2,6.01,199.8,165,58,555,85,0.15,0.52,3.8,9,9,200
7/8/2019,Turag,Yearpur (u/s of Ashulia Lake),L-5,29.3,7.52,165.4,72,5.63,208,122,24,459,85,0.12,0.21,1.5,3,10,170
7/8/2019,Turag,Ashulia Bridge (d/s of Ashulia Lake),L-6,29.3,7.49,167,72.8,5.18,200.4,105,48,772,45,0.21,0.39,1.5,10,10,200
7/8/2019,Turag,Rustampur (u/s of confluence),L-7,29.4,7.35,174.3,75.9,4.58,188,93.7,28,358,50,0.1,0.28,1.3,2,11,200
7/8/2019,Turag,Birulia Bridge,L-8,29.3,7.34,171.8,74.8,3.84,171.6,71.6,26,267,55,0.12,0.33,2.3,3,11,180
7/8/2019,Turag,Botanical Garden,L-9,29.4,7.37,172,74.9,3.57,138,66.8,24,242,35,0.1,0.26,1.1,3,11,210
7/8/2019,Turag,u/s of Aminbazar Bridge,L-10,29.3,7.33,174,75.7,2.84,112,54.8,26,176,35,0.14,0.31,4.7,3,11,190
7/8/2019,Turag,Rail Bridge at Kayaltia,RH-T1,29.4,7.71,146,63.3,6.68,199.5,200,19,256,55,0.12,0.25,3.9,3,9,190
7/8/2019,Turag,d/s of Bhawal-Mirzapur Road Bridge at Madhyapara,RH-T2,29.4,7.75,142,61.6,6.85,200.4,218,47,19,35,0.11,0.38,1.2,11,11,190
7/8/2019,Turag,d/s of Bridge at Mouchak-Fulbaria Road,RH-T3,29.4,7.77,141.5,61.4,6.89,203.2,225,47,15,40,0.01,0.3,4,10,11,190
7/8/2019,Turag,d/s of Dubail Beel (Goalia),RH-T4,29.4,7.71,141.3,61.3,6.9,202.1,231,12,57,35,0.07,0.18,6.9,1,6,150
7/8/2019,Turag,d/s of Madankhali Jame Mosque,RH-T5,29.4,7.77,140.5,60.9,6.91,203.6,259,17,43,40,0.08,0.11,1,1,7,180
7/8/2019,Turag,Boroibari Bridge,L-48,29.4,7.74,138.7,60.1,6.97,205,184,19,18,25,0.06,0.15,1.8,4,12,180
7/8/2019,Turag,Kaliakoir Bridge,L-47,29.5,7.86,138,59.8,7.02,204.5,254,21,17,5,0.08,0.14,1.1,2,6,200
7/8/2019,Bangshi,Kaliakoir Bangshi Bridge,L-49,29.5,7.82,138.5,60,6.98,203.7,295,18,13,30,0.08,0.19,1.4,2,9,180
7/14/2019,Tongi Khal,d/s Ashulia Landing station,L-20,28.6,7.52,172.8,76.4,4.18,140.6,49.2,39,70,20,0.18,0.25,5.4,19,17,210
7/14/2019,Tongi Khal,u/s Ijtema Field,L-21,28.6,7.45,189.3,83.8,3.29,143.9,40.2,29,60,45,0.12,0.34,2.9,7,19,190
7/14/2019,Tongi Khal,d/s Railway Bridge,L-22,28.6,7.44,191.2,84.6,2.68,148.8,47.9,25,70,50,0.14,0.42,1.2,4,16,170
7/14/2019,Tongi Khal,d/s of Hussein Dyeing,L-23,28.5,7.42,220.6,105.6,1.73,151.2,39,29,3,50,0.16,0.82,1.7,113,20,200
7/14/2019,Tongi Khal,Mausaid (d/s Pagar Canal),L-24,28.6,7.46,308,140,1.04,-190,37.7,28,38,45,0.31,0.85,4.8,4,20,170
7/14/2019,Tongi Khal,u/s of Balu Confluence,L-25,28.5,7.4,311,138.8,0.17,-15.4,36.3,35,35,85,0.08,2.27,1.5,11,23,200
7/14/2019,Balu ,u/s of Purbachal,L-26,28.6,7.39,252,111.9,0.22,10.8,20.4,42,18,75,0.07,1.24,1.7,5,20,220
7/14/2019,Balu ,d/s of Purbachal (Ichhapur bridge),L-27,28.5,7.41,267,118,1.2,54,15.41,40,23,60,0.07,1.59,1.2,5,19,180
7/14/2019,Balu ,Beraid,L-28,28.7,7.38,298,132,0.51,84,14.02,50,24,70,0.08,2.31,1.1,4,21,180
7/14/2019,Balu ,d/s of Begunbari Canal,L-29,28.7,7.41,307,136.9,0.16,-21.9,18.57,36,31,80,0.05,2.61,2.1,5,20,170
7/14/2019,Balu ,Demra (u/s of confluence),L-30,28.7,7.33,343,161.9,0.17,-25,24,53,17,110,0.08,3.9,1.5,12,16,160
7/14/2019,Dhaleshwari ,Muktapur Ghat  ,L-40,29,7.52,220.3,89,3.63,119.9,75.6,22,138,25,0.07,0.75,2.8,9,10,180
7/14/2019,Shitalakhya ,d/s Kanchan Bridge,L-41,28.6,7.51,102.2,44.9,5.68,84.4,75.2,57,118,25,0.35,0.31,1.4,9,4,130
7/14/2019,Shitalakhya ,ACI Salt (Rupganj Ferry Ghat),L-42,28.6,7.49,107.3,47.2,5.6,74.6,80.3,60,125,5,0.38,0.28,2.1,9,5,140
7/14/2019,Shitalakhya ,Demra Ghat,L-43,28.6,7.51,117,51.5,5.01,89.8,71.4,54,105,30,0.31,0.62,2.3,9,6,150
7/14/2019,Shitalakhya ,d/s of Adamjee EPZ,L-44,28.7,7.51,150,66.1,4.16,119.4,62.9,57,90,15,0.37,0.7,1.6,10,7,160
